amps,cell,dur,expt,freqs,rep,spikes
70,7,25,tuning_curve,32000,3,116.69999999998
70,7,25,tuning_curve,64000,3,-22.0333333333542
70,7,25,tuning_curve,64000,3,26.1666666667111
40,7,25,tuning_curve,-1,4,11.6666666667129
40,7,25,tuning_curve,-1,4,30.6666666666047
40,7,25,tuning_curve,-1,4,78.3333333333189
40,7,25,tuning_curve,-1,4,112.933333333274
40,7,25,tuning_curve,1000,4,144.166666666649
40,7,25,tuning_curve,1414.21,4,-18.9666666666994
40,7,25,tuning_curve,1414.21,4,123.233333333303
40,7,25,tuning_curve,2000,4,40.0999999999954
40,7,25,tuning_curve,2828.43,4,-35.3000000000634
40,7,25,tuning_curve,4000,4,37.5666666665779
40,7,25,tuning_curve,5656.85,4,-20.0666666666507
40,7,25,tuning_curve,5656.85,4,18.5666666665725
40,7,25,tuning_curve,5656.85,4,66.5333333333251
40,7,25,tuning_curve,5656.85,4,134.499999999946
40,7,25,tuning_curve,8000,4,9.79999999998427
40,7,25,tuning_curve,8000,4,104.233333333298
40,7,25,tuning_curve,11313.7,4,-7.96666666661849
40,7,25,tuning_curve,11313.7,4,144.133333333286
40,7,25,tuning_curve,16000,4,130.200000000002
40,7,25,tuning_curve,22627.4,4,3.99999999996226
40,7,25,tuning_curve,22627.4,4,131.733333333329
40,7,25,tuning_curve,32000,4,39.0666666666561
40,7,25,tuning_curve,45254.8,4,129.200000000026
40,7,25,tuning_curve,64000,4,131.799999999942
55,7,25,tuning_curve,-1,4,-36.4333333333775
55,7,25,tuning_curve,-1,4,49.1000000000099
55,7,25,tuning_curve,-1,4,83.8333333333026
55,7,25,tuning_curve,-1,4,136.099999999999
55,7,25,tuning_curve,2828.43,4,7.06666666673073
55,7,25,tuning_curve,2828.43,4,66.6333333333
55,7,25,tuning_curve,5656.85,4,64.9999999999977
55,7,25,tuning_curve,8000,4,86.2666666666314
55,7,25,tuning_curve,11313.7,4,83.2000000000903
55,7,25,tuning_curve,22627.4,4,65.8666666666363
55,7,25,tuning_curve,32000,4,-11.9000000000256
55,7,25,tuning_curve,32000,4,90.7333333332758
55,7,25,tuning_curve,45254.8,4,80.2333333332967
55,7,25,tuning_curve,64000,4,-26.1666666667111
55,7,25,tuning_curve,64000,4,88.1666666666092
70,7,25,tuning_curve,-1,4,45.0999999999908
70,7,25,tuning_curve,-1,4,61.0333333333415
70,7,25,tuning_curve,1000,4,14.033333333316
70,7,25,tuning_curve,1414.21,4,-35.2333333333377
70,7,25,tuning_curve,1414.21,4,33.3666666667227
70,7,25,tuning_curve,1414.21,4,111.100000000022
70,7,25,tuning_curve,1414.21,4,140.666666666732
70,7,25,tuning_curve,2828.43,4,-45.9666666666294
70,7,25,tuning_curve,2828.43,4,10.7999999999606
70,7,25,tuning_curve,4000,4,-22.8333333333808
70,7,25,tuning_curve,4000,4,110.066666666683
70,7,25,tuning_curve,5656.85,4,114.333333333263
70,7,25,tuning_curve,8000,4,43.733333333364
70,7,25,tuning_curve,8000,4,126.899999999921
70,7,25,tuning_curve,11313.7,4,70.7000000000448
70,7,25,tuning_curve,16000,4,15.6666666666183
70,7,25,tuning_curve,22627.4,4,97.033333333286
70,7,25,tuning_curve,32000,4,14.2000000000166
70,7,25,tuning_curve,32000,4,73.6999999999739
70,7,25,tuning_curve,45254.8,4,-38.7333333333686
70,7,25,tuning_curve,45254.8,4,122.400000000027
70,7,25,tuning_curve,64000,4,134.23333333327
